Shoe_ID,Shoe_Type,Model,Materials,Carbon_Footprint (Total CO2e in kg),Recyclability,End_of_life_disposal_options
M1,Children,Size 35,"Bovine hides (chrome tanned leather), acrylonite butadiene-styrene, TPU",4.05,Yes,Recyclable
M2,Children,Size 32,"Bovine hides (chrome tanned leather), acrylonite butadiene-styrene, HDPE",3.1,Yes,Recyclable
M3,Children,Size 32,"Bovine hides (chrome tanned leather), acrylonite butadiene-styrene, TPU",7.14,Yes,Recyclable
M4,Women,Size 37,"Chrome-tanned bovine leather, acrylonite butadiene-styrene, natural rubber",13.865,Yes,Recyclable
M5,Outdoor,Size 42,"Chrome-tanned bovine leather, metals (steel and copper), PVC",12.39,Partially,Recyclable
M6,Children,Size 32,"Cotton thread, acrylonite butadiene-styrene, PVC",4.165,Yes,Recyclable
M7,Outdoor,Size 42,"Chrome-tanned bovine leather, polyester, synthetic rubber",13.05,Partially,Recyclable
M8,Men,Size 45,"Full-grain leather, EVA foam, rubber soles",9.5,Yes,Recyclable
M9,Women,Size 39,"Vegan leather, TPR soles, and recycled PET fabric",6.8,Yes,Recyclable
M10,Men,Size 44,"Suede, cotton, rubber",5.3,Yes,Recyclable
M11,Old Age,Size 41,"Memory foam, polyurethane, rubber",4.9,Yes,Recyclable
M12,Kids,Size 30,"Vegan leather, cotton, rubber soles",3.6,Yes,Recyclable
M13,Men,Size 43,"Leather, wool, recycled rubber",7.1,Partially,Recyclable
M14,Women,Size 38,"Textile, cork, TPR",4.4,Yes,"Compostable, Recyclable"
M15,Men,Size 42,"Hemp, natural rubber, jute",3.5,Yes,Compostable
M16,Old Age,Size 40,"Faux suede, breathable mesh, foam",3.7,Yes,Recyclable
M17,Men,Size 43,"Leather, recycled PET fabric, TPR soles",7.8,Yes,Recyclable
M18,Women,Size 36,"Suede, TPR soles, recycled textile",5.4,Yes,Recyclable
M19,Kids,Size 28,"Mesh, synthetic leather, rubber soles",2.9,Yes,Recyclable
M20,Old Age,Size 38,"Cotton, rubber soles, foam",3.8,Yes,Recyclable
M21,Men,Size 41,"Wool, natural rubber, recycled polyester",6.2,Yes,Recyclable
M22,Women,Size 35,"Vegan leather, cork, EVA soles",4.5,Yes,"Compostable, Recyclable"
M23,Kids,Size 27,"Canvas, synthetic rubber, recycled cotton",2.5,Yes,Recyclable
M24,Men,Size 42,"Full-grain leather, foam, natural rubber",8.7,Yes,Recyclable
M25,Women,Size 40,"Textile, jute, natural rubber",5.9,Yes,Compostable
M26,Old Age,Size 39,"Wool, synthetic rubber, cotton",3.4,Yes,Recyclable
M27,Men,Size 44,"Leather, recycled rubber, EVA foam",8.2,Partially,Recyclable
M28,Women,Size 38,"Suede, polyester, thermoplastic elastomers",4.1,Yes,Recyclable
M29,Kids,Size 30,"Vegan leather, TPR soles, recycled PET fabric",2.3,Yes,Recyclable
M30,Old Age,Size 37,"Breathable mesh, memory foam, rubber",4,Yes,Recyclable
M31,Men,Size 43,"Suede, EVA foam, TPR soles",7,Yes,Recyclable
M32,Women,Size 37,"Vegan leather, jute, rubber soles",5,Yes,Compostable
M33,Kids,Size 29,"Cotton, synthetic rubber, recycled leather",3.2,Yes,Recyclable
M34,Old Age,Size 38,"Leather, wool, TPR soles",4.3,Partially,Recyclable
M35,Men,Size 44,"Leather, rubber soles, recycled polyester",7.5,Yes,Recyclable
M36,Women,Size 39,"Textile, jute, cork",4.6,Yes,Compostable
M37,Kids,Size 31,"Cotton, synthetic rubber, recycled leather",2.2,Yes,Recyclable
M38,Old Age,Size 39,"Mesh, memory foam, polyurethane soles",4.3,Yes,Recyclable
M39,Men,Size 42,"Vegan leather, cork, EVA foam",6.8,Yes,Recyclable
M40,Women,Size 37,"Suede, TPR soles, recycled PET fabric",5.3,Yes,Recyclable
M41,Kids,Size 28,"Canvas, recycled rubber, PET fabric",2.4,Yes,Recyclable
M42,Old Age,Size 37,"Wool, EVA foam, natural rubber",3.8,Yes,"Compostable, Recyclable"
M43,Men,Size 44,"Recycled leather, TPR soles, polyester",7.2,Yes,Recyclable
M44,Women,Size 38,"Vegan leather, EVA foam, cotton",4.7,Yes,Recyclable
M45,Kids,Size 29,"Cotton, recycled rubber, natural rubber",2.5,Yes,Recyclable
M46,Old Age,Size 38,"Leather, jute, rubber",4.1,Partially,Compostable
M47,Men,Size 43,"Mesh, polyurethane, recycled rubber",6.3,Yes,Recyclable
M48,Women,Size 40,"Synthetic leather, TPR soles, cotton",5,Yes,Recyclable
M49,Kids,Size 30,"Cotton, recycled PET fabric, TPR soles",2.9,Yes,Recyclable
M50,Old Age,Size 37,"Suede, memory foam, natural rubber",4,Yes,Recyclable
M51,Men,Size 42,"Leather, synthetic rubber, recycled PET",7.9,Partially,Recyclable
M52,Women,Size 37,"Textile, recycled polyester, EVA foam",4.3,Yes,Recyclable
M53,Kids,Size 29,"Canvas, synthetic leather, recycled PET fabric",2.7,Yes,Recyclable
M54,Old Age,Size 38,"Breathable mesh, EVA foam, natural rubber",3.6,Yes,Recyclable
M55,Men,Size 43,"Full-grain leather, EVA foam, recycled rubber",7.4,Yes,Recyclable
M56,Women,Size 37,"Suede, jute, cork",4.7,Yes,Compostable
M57,Kids,Size 29,"Mesh, cotton, rubber soles",2.3,Yes,Recyclable
M58,Old Age,Size 38,"Breathable mesh, memory foam, rubber",4,Yes,Recyclable
M59,Men,Size 42,"Synthetic leather, polyester, rubber",6.8,Yes,Recyclable
